語,發音,漢字、原文,中文意思
あ,1,あ,喂、哎
あ,,亜,亞
あ（っ）,1,あ（っ）,喂、哎呀
ああ,1,ああ,阿、哎呀
ああ,0,ああ,那樣、那麼
あい,1,愛,愛戀、熱愛
あいかわらず,0,相変わらず,仍舊、照舊
あいさつ（する）,1,挨拶（する）,寒暄、問候
あいじょう,0,愛情,愛情
あいず,1,合図,暗號、信號
アイスクリーム,5,icecream,冰淇淋
あいする,3,愛する,愛慕、熱愛
あいそう,3,愛想,和藹可親、好感
あいだ,0,間,間、期間、間隔、關係
あいだがら,0,間柄,（人與人）關係
あいつぐ,1,相次ぐ,相繼（發生）
あいて,3,相手,對方、敵手
アイデア/アイディア,1,idea,點子、想法、創意
あいにく,0,生憎,不湊巧、偏偏
あいま,0,合間,空檔、間隙、閒暇
あいまい,0,曖昧,可疑、不正經、曖昧
アイロン,0,iron,熨斗
あう,1,会う,遇、遇上
あう,1,合う,一致、合適
あう,1,遭う,遭遇
アウト,1,out,出局、外邊
あえて,1,敢えて,膽敢
あお,1,青,青色
あおい,2,青い,青的、藍色的
あおぐ,2,扇ぐ,扇
あおぐ,2,仰ぐ,仰視、尊敬
あおじろい,4,青白い,青白色的
あか,1,赤,紅色
あか,2,垢,污垢
あかい,0,赤い,紅色的
あかし,0,証,證據、證明
あかじ,0,赤字,赤字、虧空
あかす,0,明かす,說出、道破
あかちゃん,1,赤ちゃん,嬰兒
あからむ,3,赤らむ,變紅、紅起來
あかり,0,明かり、灯り,燈火、光亮
あがり,0,上がり/上がり,上、收入、完成/〜出身、剛
あがる,3,上がる,上漲、提高、昂揚
あかるい,0,明るい,明亮的、開朗的
あかんぼう,0,赤ん坊,嬰兒、幼稚的人
あき,1,秋,秋天
あき,0,明き、空き,空的、空隙、空閒
あきらか,2,明らか,顯亮、明白、明亮
あきらめ,0,諦め,死心、放棄
あきらめる,4,諦める,死心、斷念
あきる,2,飽きる,厭煩、膩
あきれる,0,呆れる,大吃一驚、目瞪口呆
あく,0,開く,打開、開啟
あく,0,空く,空出、有空位
あく,1,悪,壞事、弊端、壞人、邪惡
あくしゅ,1,握手,握手
アクセサリー,1,accessory,配飾、裝飾品
アクセル,1,accelerator,加速器、油門踏板
アクセント,1,accent,語調、強勢、重點
あくどい,3,あくどい,過火的、惡劣的
あくび,0,欠伸,哈欠
あくま,1,悪魔,惡魔、魔鬼
あくまで,1,飽くまで,徹底、始終、堅持到底
あくる,0,明くる,明、翌、下、次
あけがた,0,明け方,黎明、天剛亮時
あける,0,開ける,開、打開
あける,0,明ける,天明、期滿、過年
あげる,0,上げる、挙げる,舉、懸掛、抬高、舉行
あげる,0,あげる「お祝いをあげる」,送、給
あげる,0,揚げる,揚起、炸
あご,2,顎,下巴、頜、顎
あこがれ,0,憧れ,憧憬、向往
あこがれる,0,憧れる,憧憬、嚮往
あさ,1,朝,早晨、早上
あさ,2,麻,麻、麻布
あざ,2,痣,痣
あさい,0,浅い,淺的、淡的、輕的
あさごはん,3,朝御飯,早飯、早餐
あさって,2,明後日,後天
あさねぼう,3,朝寝坊,賴床
あさましい,4,浅ましい,卑鄙
あざむく,3,欺く,欺騙
あざやか,2,鮮やか,鮮明
あざわらう,4,嘲笑う,嘲笑
あし,2,足,腳、腿
あじ,0,味,味、味道
アジア,1,Asia,亞洲
あしあと,3,足跡,足跡
あしからず,3,悪しからず,請不要見怪
あした,3,明日,明日、明天
あしもと,3,足元,腳下
あじわい,0,味わい,品味
あじわう,0,味わう,品嚐、體味、玩味
あす,2,明日,明天、將來
あずかる,3,預かる,保管
あずける,3,預ける,保管
あせ,1,汗,汗水
あせる,2,焦る,著急
あせる,0,褪せる「色が〜」,褪色（顏色變淡）
あそこ,0,あそこ,那裡
あそび,0,遊び,遊戲、玩耍
あそぶ,0,遊ぶ,玩
あたい,0,値,價值
あたいする,0,値する,值
あたえる,0,与える,給予
あたたか,2,暖か、温か,溫暖的
あたたかい,4,暖かい、温かい,溫暖、溫和
あたたまる,4,暖まる、温まる,暖和、取暖
あたためる,4,暖める、温める,使…暖、使…熱
あたま,0,頭,頭、頭部、頭腦
あたらしい,4,新しい,新的、新式的
あたり,1,辺り,附近
あたり,0,当り/当り,碰撞、命中、中奨/每、左右、大約
あたりまえ,0,当たり前,當然
あたる,0,当る,照射、當、擔任、碰上、撞上、成功
あちこち,2,あちこち,到處、各處
あちら,0,あちら,那邊
あちらこちら,4,あちらこちら,到處
あつい,0,厚い,厚的
あつい,2,暑い,熱、炎熱
あつい,2,熱い,熱、燙的
あっか,0,悪化,惡化
あつかい,0,扱い,對待
あつかう,0,扱う,處理、對待、操作
あつかましい,5,厚かましい,無恥
あっけない,4,呆気ない,太簡單
あっさり,3,あっさり,清淡
あっしゅく,0,圧縮,壓縮
あっせん,0,斡旋,斡旋
あっち,3,あっち,那邊
あっとう,0,圧倒,凌駕
あっぱく,0,圧迫,壓迫
アップ,1,up,提升、向上
あつまり,0,集り,集會、聚集
あつまる,3,集まる,集合、集
あつめる,3,集める,集中、收集
あつらえる,3,誂る,訂製、定做
あつりょく,2,圧力,壓力
あて,0,宛,寄給
あて,0,当て,目標、希望、指望
あてじ,0,当字、宛字,錯別字、借用字、白字
あてな,0,宛名,收件人姓名
あてはまる,4,当て嵌まる,適合
あてはめる,4,当て嵌める,適用
あてる,0,当てる,碰、撞、接觸、指名
あてる,0,宛てる,發給
あと,1,後,後面
あと,1,跡、痕,蹟、跡象、痕跡
あと,1,後/跡,後方、後/痕
あとつぎ,2,跡継,後代、後嗣
あとまわし,3,後回し,緩辦
あな,2,穴,洞、缺陷
アナウンサー,3,announcer,廣播員
あなた,2,貴方,你
あに,1,兄,哥哥
あね,0,姉,姐姐、姊姊
あの,0,あの,那、那個
あの,0,あの,哎、啊、嗯
アパート,2,apartmentbuilding,公寓
あばれる,0,暴れる,鬧、放蕩
あびる,0,浴びる,淋浴、受到、遭受
あぶない,0,危ない,危險的
